City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Cockburn Town,TC,82.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
454,Penzberg,DE,77.58,clear sky,47.75,11.3833,Stadthotel Berggeist - Hotel Berggeist
455,Jiazi,CN,81.05,overcast clouds,22.8779,116.067,Hotel Jin Hao
456,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
457,Hovd,MN,73.35,overcast clouds,48.0056,91.6419,Hotel Khovd
458,Karratha,AU,70.07,light rain,-20.7377,116.8463,ibis Styles Karratha
459,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
461,Mazyr,BY,70.47,broken clouds,52.0495,29.2456,Euro Mini-Hotel
462,Ambanja,MG,72.12,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
466,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
467,Taitung,TW,77.27,light rain,22.7583,121.1444,Taitung Bali Suites Hotel
469,Nadym,RU,75.97,clear sky,65.5333,72.5167,Apartment on Zvereva
470,Termoli,IT,81.75,scattered clouds,41.9888,14.9895,Hotel Mistral
472,Gubkinskiy,RU,75.24,scattered clouds,64.434,76.5026,MonarcH
474,Mombetsu,JP,71.11,heavy intensity rain,44.3525,143.3525,Okhotsk Palace Hotel
478,Praia Da Vitoria,PT,80.76,few clouds,38.7333,-27.0667,Hotel Branco I
486,Banjar,ID,74.28,overcast clouds,-8.19,114.9675,The Hamsa Resort
487,Korhogo,CI,89.29,broken clouds,9.45,-5.6333,Hôtel Tchinbota
489,Camacha,PT,71.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
490,Inirida,CO,89.04,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
492,Tevaitoa,PF,76.15,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
499,Ambon,ID,78.24,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
502,Krasnoselkup,RU,70.59,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
506,El Tigre,VE,88.3,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
508,Isaka,TZ,77.59,clear sky,-3.9,32.9333,SUBMARINE HOTELS LTD
510,Rancho Palos Verdes,US,78.78,few clouds,33.7445,-118.387,Terranea Resort
513,Pemberton,CA,77.2,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
515,Kokopo,PG,75.7,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
516,Inhambane,MZ,70.61,clear sky,-23.865,35.3833,Oceano
518,Lalitpur,NP,73.78,broken clouds,27.6667,85.3333,Hotel Himalaya
520,Touros,BR,83.21,clear sky,-5.1989,-35.4608,INN NEW HORIZON
522,Calamar,CO,89.08,few clouds,10.2511,-74.9146,Hostal Katyalex
523,The Pas,CA,75.76,clear sky,53.8251,-101.2541,Wescana Inn
527,Russell,US,84.11,few clouds,32.3502,-85.1999,Macs
532,Birjand,IR,81.45,clear sky,32.8663,59.2211,Birjand Tourist Hotel
533,Khani,GE,72.97,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
536,Sola,VU,80.06,clear sky,-13.8833,167.55,Leumerus Bungalows
540,San Salvo,IT,79.57,light rain,42.0433,14.7272,Villa Bianca Hotel & Spa
541,Banda Aceh,ID,79.47,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
544,Batticaloa,LK,83.82,overcast clouds,7.7102,81.6924,Grand Star Guest House
546,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
549,Tautira,PF,74.5,overcast clouds,-17.7333,-149.15,Pension Oaoa
550,Gay,RU,70.99,overcast clouds,51.4666,58.4552,Hotel Berezka
555,Teguise,ES,80.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
557,Lae,PG,74.34,overcast clouds,-6.7221,146.9847,Phils Hotel
