City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Les Cayes,HT,2022-08-01 15:46:18,18.2,-73.75,90.59,57,10,10.76
277,Chimoio,MZ,2022-08-01 15:46:18,-19.1164,33.4833,67.95,56,75,9.22
278,Vanavara,RU,2022-08-01 15:46:18,60.34,102.2797,62.42,96,89,4.5
279,Cockburn Town,TC,2022-08-01 15:44:23,21.4612,-71.1419,84.16,74,40,17.27
280,Hithadhoo,MV,2022-08-01 15:46:19,-0.6,73.0833,81.97,66,95,14.0
281,Fort William,GB,2022-08-01 15:46:19,56.8165,-5.1121,62.44,71,98,5.1
282,Zhanaozen,KZ,2022-08-01 15:46:20,43.3,52.8,92.62,20,23,8.72
283,Grand Gaube,MU,2022-08-01 15:46:20,-20.0064,57.6608,68.4,87,90,5.01
284,Yabrud,SY,2022-08-01 15:46:21,33.9674,36.6574,81.14,22,0,5.28
285,Prince Rupert,CA,2022-08-01 15:42:01,54.3161,-130.3201,59.09,91,75,14.97
286,Hasaki,JP,2022-08-01 15:46:21,35.7333,140.8333,81.28,91,60,3.42
287,Alofi,NU,2022-08-01 15:46:22,-19.0595,-169.9187,67.89,94,3,2.3
288,Manokwari,ID,2022-08-01 15:46:22,-0.8667,134.0833,77.95,79,29,3.42
289,Kamaishi,JP,2022-08-01 15:46:23,39.2667,141.8833,73.76,97,99,6.67
290,Albertville,US,2022-08-01 15:43:07,34.2676,-86.2089,76.95,90,75,0.0
291,Touros,BR,2022-08-01 15:46:23,-5.1989,-35.4608,83.16,64,50,17.72
292,Denpasar,ID,2022-08-01 15:43:09,-8.65,115.2167,80.26,88,40,10.36
